City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,nagarote,12.2659,-86.5647,26.85,74,100,1.99,NI,1682302371
133,carolina beach,34.0352,-77.8936,18.34,81,97,2.55,US,1682302184
134,butterworth,5.3991,100.3638,31.02,70,20,1.54,MY,1682302372
135,el battan,36.8037,9.8442,13.82,70,0,1.61,TN,1682302372
136,mugia,43.1041,-9.2179,16.2,97,100,4.51,ES,1682302372
137,riviere-du-loup,47.8304,-69.5342,7.42,81,100,3.93,CA,1682302372
138,labuan,5.2767,115.2417,28.22,72,88,2.34,MY,1682302160
139,uturoa,-16.7333,-151.4333,27.59,78,56,3.58,PF,1682302372
140,kununurra,-15.7667,128.7333,28.99,39,4,4.63,AU,1682302372
141,santa isabel,-23.3156,-46.2214,16.61,97,10,1.01,BR,1682302373
142,muli,2.9167,73.5667,29.33,68,100,3.12,MV,1682302373
143,kashmar,35.2383,58.4656,19.91,23,100,2.49,IR,1682302373
144,bardai,11.65,7.2333,23.79,70,100,4.06,NG,1682302373
145,acapulco de juarez,16.8634,-99.8901,27.9,69,40,1.54,MX,1682302275
146,akureyri,65.6835,-18.0878,-0.79,67,19,0.58,IS,1682302373
147,salekhard,66.53,66.6019,-9.11,84,73,6.55,RU,1682302373
148,saipan,15.1355,145.701,31.39,100,40,7.2,MP,1682302374
149,sisimiut,66.9395,-53.6735,0.01,99,100,1.86,GL,1682302374
150,sosua,19.7667,-70.5167,23.99,88,40,0.0,DO,1682302374
151,mount gambier,-37.8333,140.7667,21.58,43,0,3.18,AU,1682302374
152,isafjordur,66.0755,-23.124,0.26,63,74,2.77,IS,1682302374
153,howrah,22.5892,88.3103,28.0,78,20,0.0,IN,1682302374
154,fort bragg,35.139,-79.006,17.73,66,75,0.45,US,1682302374
155,east london,-33.0153,27.9116,20.15,57,100,2.47,ZA,1682302374
156,aripuana,-9.1667,-60.6333,21.71,98,97,1.01,BR,1682302374
157,singaparna,-7.3515,108.111,27.42,77,52,1.08,ID,1682302375
158,axim,4.8699,-2.2405,27.08,83,100,2.31,GH,1682302375
159,uusikaupunki,60.8004,21.4084,3.65,98,100,4.91,FI,1682302375
160,qaqortoq,60.7167,-46.0333,0.92,77,100,0.96,GL,1682302375
161,ola,59.5833,151.2833,2.25,73,100,7.06,RU,1682302375
162,santarem,-2.4431,-54.7083,25.07,94,40,3.09,BR,1682302375
163,yima,34.7381,111.8839,3.21,98,100,1.08,CN,1682302375
164,malanje,-9.5402,16.341,17.78,96,100,0.71,AO,1682302376
165,formosa do rio preto,-11.0483,-45.1931,24.46,49,88,1.96,BR,1682302376
166,nova vicosa,-17.8919,-39.3719,24.8,72,89,6.22,BR,1682302376
167,porto novo,6.4965,2.6036,26.56,86,100,1.04,BJ,1682302376
168,dunedin,-45.8742,170.5036,11.56,10,11,9.52,NZ,1682302376
169,ust-nera,64.5667,143.2,-3.87,88,100,3.41,RU,1682302376
